# Range file name:,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt,Zn_R248Q_10+.txt
# Raw file name:,16122021_r248q_1pass_posttrap60_trapce10.raw,16122021_r248q_1pass_posttrap60_trapce25.raw,16122021_r248q_1pass_posttrap60_trapce30_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce35_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce40.raw,16122021_r248q_1pass_posttrap60_trapce50.raw,16122021_r248q_1pass_posttrap60_trapce60.raw
111.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145.843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152.557,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170.461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
