# Range file name:,ZnR248q_9+.txt,ZnR248q_9+.txt,ZnR248q_9+.txt,ZnR248q_9+.txt,ZnR248q_9+.txt,ZnR248q_9+.txt,ZnR248q_9+.txt
# Raw file name:,16122021_r248q_1pass_posttrap60_trapce10.raw,16122021_r248q_1pass_posttrap60_trapce25.raw,16122021_r248q_1pass_posttrap60_trapce30_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce35_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce40.raw,16122021_r248q_1pass_posttrap60_trapce50.raw,16122021_r248q_1pass_posttrap60_trapce60.raw
110.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.653,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0
