# Range file name:,ZnR248q_8+.txt,ZnR248q_8+.txt,ZnR248q_8+.txt,ZnR248q_8+.txt,ZnR248q_8+.txt,ZnR248q_8+.txt,ZnR248q_8+.txt
# Raw file name:,16122021_r248q_1pass_posttrap60_trapce10.raw,16122021_r248q_1pass_posttrap60_trapce25.raw,16122021_r248q_1pass_posttrap60_trapce30_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce35_dtraw.raw,16122021_r248q_1pass_posttrap60_trapce40.raw,16122021_r248q_1pass_posttrap60_trapce50.raw,16122021_r248q_1pass_posttrap60_trapce60.raw
$TrapCV:,10.0,25.0,30.0,35.0,40.0,50.0,60.0
14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.396,0.0,0.0,0.0,0.0,0.0,0.0,59.0
20.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.348,3.0,0.0,0.0,0.0,0.0,0.0,0.0
29.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.586,29.0,0.0,0.0,0.0,0.0,0.0,0.0
31.705,135.0,3.0,9.0,0.0,0.0,13.0,0.0
32.824,140.0,53.0,23.0,3.0,0.0,0.0,0.0
33.943,112.0,5.0,12.0,0.0,0.0,0.0,0.0
35.062,1918.0,274.0,583.0,65.0,7.0,0.0,0.0
36.181,89452.0,14297.0,24043.0,8130.0,904.0,119.0,106.0
37.3,122526.0,22420.0,41895.0,21494.0,4556.0,1010.0,268.0
38.419,50288.0,10461.0,20719.0,14000.0,4412.0,1067.0,185.0
39.538,8964.0,1930.0,4516.0,4832.0,2297.0,487.0,88.0
40.657,1171.0,216.0,798.0,1131.0,910.0,191.0,42.0
41.776,414.0,17.0,172.0,286.0,330.0,126.0,6.0
42.895,206.0,0.0,89.0,110.0,262.0,76.0,74.0
44.014,246.0,14.0,33.0,111.0,165.0,68.0,85.0
45.133,166.0,8.0,57.0,105.0,133.0,177.0,77.0
46.252,109.0,32.0,53.0,74.0,143.0,124.0,239.0
47.371,240.0,17.0,104.0,134.0,222.0,521.0,1215.0
48.49,934.0,131.0,184.0,419.0,652.0,2275.0,6113.0
49.609,905.0,153.0,561.0,673.0,929.0,4723.0,11726.0
50.728,1002.0,105.0,440.0,468.0,908.0,5285.0,12572.0
51.847,658.0,98.0,251.0,263.0,633.0,3253.0,9138.0
52.966,497.0,52.0,172.0,260.0,278.0,1796.0,5347.0
54.085,402.0,10.0,132.0,180.0,231.0,1093.0,2965.0
